university,count,lat,lng,place_id,formatted_address
Keiser University,4,26.1861474,-80.1648944,ChIJNXLIS90D2YgR9nghBb-dy90,"1500 NW 49th St, Fort Lauderdale, FL 33309, USA"
Kennesaw State University,2,34.0380784,-84.5815717,ChIJU-VAr9Jq9YgR0MgJ0smjln8,"1000 Chastain Rd NW, Kennesaw, GA 30144, USA"
Kent State University,6,41.1438917,-81.3365012,ChIJeWbarto6MYgRM8S8HJDz2d0,"800 E Summit St, Kent, OH 44240, USA"
King College,1,36.5869972,-82.15945119999999,ChIJrZOAO-t2UIgRYy0oQhpSBKU,"1350 King College Rd, Bristol, TN 37620, USA"
LaSalle University,1,40.0390398,-75.1558184,ChIJi-rtryq4xokRsvHYupH2zMM,"1900 W Olney Ave, Philadelphia, PA 19141, USA"
Lamar University,1,30.0415251,-94.0754905,ChIJy2sEtXjKPoYRH9n_xPzmC6E,"4400 S M L King Jr Pkwy, Beaumont, TX 77705, USA"
Lehigh University,1,40.6054003,-75.3771764,ChIJ5WpcfWc-xIkRILNvZO3psF0,"27 Memorial Dr W, Bethlehem, PA 18015, USA"
Liberty University,21,37.3520604,-79.1753844,ChIJEdnwoIrasokRDs8syoKHVTA,"1971 University Blvd, Lynchburg, VA 24515, USA"
Liberty University School of Law,1,37.3586997,-79.1754231,ChIJpdymUvXasokRAyhD9w2Q6B4,"1971 University Blvd, Lynchburg, VA 24502, USA"
Libery University,1,37.3520604,-79.1753844,ChIJEdnwoIrasokRDs8syoKHVTA,"1971 University Blvd, Lynchburg, VA 24515, USA"
Life University,1,33.9315424,-84.5174522,ChIJM8SlEVIR9YgRQ2e5PXLdWC4,"1269 Barclay Cir, Marietta, GA 30060, USA"
Lindenwood University,1,38.7857311,-90.50220540000001,ChIJ720L4hkv34cRuLEdnLM1s0Y,"209 S Kingshighway St, St Charles, MO 63301, USA"
Lipscomb University,1,36.1046846,-86.7988728,ChIJqSw3Qk9kZIgRUwjsDcF0vEA,"1 University Park Dr, Nashville, TN 37204, USA"
Loma Linda University,1,34.0504232,-117.2641366,ChIJg7o124er3IAR9IvA-2daeLw,"11175 Campus St, Loma Linda, CA 92354, USA"
Louisiana State University,4,30.4102406,-91.18570590000002,ChIJoxwOeCOnJoYRU1QUYy4fss0,"1146, Pleasant Hall, Baton Rouge, LA 70802, USA"
Louisiana Tech University,1,32.5299582,-92.6522174,ChIJfYq7DHPFMYYRxPINyUGUuMQ,"201 Mayfield Ave, Ruston, LA 71272, USA"
Loyola University Chicago,2,41.9983568,-87.6569374,ChIJ_8UzkArRD4gRTH5hbofNE-Y,"1032 W Sheridan Rd, Chicago, IL 60660, USA"
